Score,Do you know about Internet (Cyber) Crime?,Cyber Crime (Internet Crime) is ,Cyber Crime also leads to,What do you think about the most probable reason of cyber attack?,How many hours you use Smartphone in a day?,Your Age Group,Studying or Working or Not Working,Have you attended any seminar or webinar or workshop on Cyber Crime and Security Awareness?,Are you aware about Cyber Crime Safety Precautions tips?,Do you know where to file an Internet (Cyber) Crime Complaint?,Have you ever been victim of Cyber Crime?,Any type of Cyber Crime happened with you?,Did you loose any money?,Did you file complaint?,Why did you not file the complaint?,Where did you file the complaint?,Was your complaint resolved?,What is the status of Complaint,What mistakes made by the person as shown in the poster?,What is the Learning from Pencil Packaging Job Scam,What wrong Mohan did?,Does ever Bank call you for such detail ?,How will you define social media cloning?,What is the learning from this story,"You receive a friend request on Facebook on the name of your school  female friend and a beautiful smart profile picture, what will you do?","In the above video, what mistake the person did? ",What happens in Honey Trapped Video Call?,What safety precautions people should take to prevent honey trapped?,What mistake Harshita Did?,"You have decided to sell your old laptop on OLX. You add the item on OLX and soon one buyer shown an interest to buy your laptop and he also confirms the deal. He ask you to click on the link to receive the payment, what will you do? ","You are travelling on a holiday trip and suddenly you come to know that a fraudulent transaction happened in your account, what will you do? ","In the above video, what mistake he did","There is a power cut at home and suddenly you receive a call that says your power has been cut due to non payment of electricity bill and he ask to click on the link and pay the bill, what will you do?","You have received an audio message with some documents and voice notes that you have won the 35 Lakhs Rs of lottery from Kaun Banega Crorepati (KBC), what will you do?",How to take precautions when you receive such kind of lottery emails or disease treatment help or WhatsApp message?,"You receive a message on WhatsApp that a new startup company is offering you a new launched mobile phone at huge discount, Limited Stock, buy it before it stock out, what will you do?",What necessary precautions we should take while shopping online?,"Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Learning]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Usefulness ]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Presentation of Training Questions (Clear & Organized)]","Has this ""Cyber Training on Cyber Crime Awareness"" provided you a learning [Relevance of Information Provided in the Cyber Training]",Has this cyber training program helped you to enhance your knowledge on Cyber Crime Awareness and Safety Precautions?,How likely will you recommend this cyber training program in your family and friends circle? [Family],How likely will you recommend this cyber training program in your family and friends circle? [Friends],How likely will you recommend this cyber training program in your family and friends circle? [Others],Would you like to participate in the Workshop/Webinar/Seminar on Cyber Crime Awareness?,Would you like to participate in the Cyber Champion Ambassador Program of College/City/State/National Level to create awareness on Cyber Crime and Safety Precautions?,Any valuable suggestion or feedback to improve this training module on Cyber Crime Awareness,Gender,State,How did you come to know about this Cyber Training Program?,"You are getting multiple calls of a person who is abusing or harassing you over the phone, what will you do?","You come to know that someone posted your personal photos on social media and then you receive a call from unknown person (True Caller is displaying the name Criminal Lawyer Advocate), and he says that a complain has been registered against you and you have been asked to pay 5000 Rs to settle down the case, what will you do?",Have you enabled the two factor authentication on your Gmail or other email account?,"Have you enabled the two factor authentication for your Social Media (Facebook/Instagram/Twitter/Linkdein/
WhatsApp/SnapChat) account?",Which of the following option indicates the strong password,"If you are studying or working, write down the name of school or college or university or workplace",How many hours you use Laptop or Computer in a day ?,When do you spend your maximum time on Smartphone?,Your Internet data is always (24*7 even during sleep) ON  or SWITCH ON only when it is required ? ,"If Cyber Crime happened with you, when did it happen?","Have you ever attended ""Online Training on Cyber Crime Awareness"" organized by CollCom before?",Did you loose any money?.1
100,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University,Not more than 2 hours in day,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
96,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,Not more than 2 hours in day,In Evening,I switch ON internet only when it is required,Not Applicable,Yes,
100,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,Not more than 2 hours in day,In Evening,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,Yes,
24,Yes,Stealing personal information,Defamation of an individual on social media,All of the above,Not more than 2 hours in day,16-21 Years,UG,Yes,I have little knowledge,Yes,No,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He was doing exactly the same that was told by the accused.,1. Pay the Job Processing fee when asked from Recruiter,b. Shared the card details,No,Duplicate the person’s social media profile,Both B and C,Both B and C,b. He blindly trusted the person and paid money,Innocent users are fooled into taking part in explicit video chats,Enable two factor authentications to login the social media account,B. She did not verify the authenticity of buyer,B. You will refuse to click on the link,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Checked the source of the call or email and will verify the authenticity,B. Also encourage my friends and family to buy it,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Very Good,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,Any Other Source,File a cyber complaint on www.cybercrime.gov.in,Will ignore the call,Yes,Yes,08-01-1992,not working,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,In the Afternoon at Home,Yes,
92,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,No,Maybe,"Yes, Like the example of game fraud ",Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,PARUL UNIVERSITY,Not more than 2 hours in day,In Evening,I switch ON internet only when it is required,Not Applicable,No,
64,Yes,Stealing personal information,All of the above,Using Internet all the time,6-8 hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,Yes,Yes,Online Video Call Sexotortion Fraud,20000-50000,"Yes, I filed the complaint.",,"Local Police Station, Cyber Police Station, Online Complaint on Cyber Crime Portal",Under Investigation,It is still pending (Under Investigation),All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,"C. Will check the other details like biography, friends connected, active time on Facebook before accepting the friend request",Both a and b,All of the above,All of the above,D. Only A and B,C. You will ask buyer to send Cash,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Maybe,Maybe,We should take care and aware people about fraudsters,Male,Gujarat,Youtube,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Studying,2 -4 Hours in a day,In Afternoon,I switch ON internet only when it is required,In the Afternoon at Home,Yes,
84,Yes,All of the above,All of the above,All of the above,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,Yes,No,"Fraud Call, Lottery Fraud, Kaun Banega Crorepati (KBC) Fraud, Bill Payment Fraud, Online Gaming Fraud, Job Offer Fraud, Part Time Job/Work From Home Fraud, Gmail Account Hacked, Fake Govt Scheme Fraud, Fake Loan Offer Fraud, Trolling on Social Media, Cyber Stalking, Courier Lottery Fraud, Online Shopping Fraud, Online Customer Helpline Fruad",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,b. He blindly trusted the person and paid money,All of the above,All of the above,B. She did not verify the authenticity of buyer,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Very Good,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,Make fake website and then tell them you're doing wrong. Don't do this type of mistakes.,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,2 -4 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,"In the Afternoon at Home, In the Evening, In the Night",No,
64,Yes,All of the above,Defamation of an individual on social media,Human Negligence,Not more than 2 hours in day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,1. Pay the Job Processing fee when asked from Recruiter,both b and c,Yes,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,B. She did not verify the authenticity of buyer,C. You will ask buyer to send Cash,B. You will immediately call 1930 cyber crime help line number to file complaint,B. He has not verified the caller and made the payment,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Not Likely,Yes,Yes,This is very helpful for me ,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,2 -4 Hours in a day,In Afternoon,I switch ON internet only when it is required,Not Applicable,Yes,
60,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,Yes,Yes,Fraud Call,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,2. Reputed Company Never Ask for Job Processing Fee Payment,b. Shared the card details,I do not know,Option A and B,Both B and C,Both B and C,b. He blindly trusted the person and paid money,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will call back to the person and share the banking details to claim the Lottery amount,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,B. Also encourage my friends and family to buy it,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,WhatsApp Group,File a cyber complaint on www.cybercrime.gov.in,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,Not more than 2 hours in day,In Evening,"I always keep my Internet ON (24*7 , Even During Sleeping Time)","Not Applicable, ",Yes,
84,Yes,All of the above,Defamation of an individual on social media,All of the above,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,No,No,"Lottery Fraud, Bill Payment Fraud, Part Time Job/Work From Home Fraud, Fake Loan Offer Fraud, Online Shopping Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Very Good,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,"Excellent work done in this test,this test not just aware about the cyber crime rather it will encourage others students to join cyber crime ",Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul polytechnic institute ,2 -4 Hours in a day,In Afternoon,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
92,Yes,All of the above,All of the above,Human Negligence,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,Yes,No,"Fraud Call, Lottery Fraud",I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,b. Shared the card details,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Female,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,"Parul University, Parul polytechnic institute ",Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
20,Yes,All of the above,Defamation of an individual on social media,All of the above,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,Yes,Yes,Gmail Account Hacked,I did not loose any money,"Yes, I filed the complaint.",,Cyber Police Station,Yes,It was resolved and criminal was arrested but deducted money was not returned,All of the above,4. Both 2 and 3 options are correct,both b and c,Yes,Duplicate the person’s social media profile,A. Always set the profile picture and friend list public,B. will call and verify whether the Girl is Authentic or Fraud,a. He accepted the friend request of unknown people,Innocent users are fooled into taking part in explicit video chats,Don’t accept friend requests from unknown while looking only smart picture,C. She did everything right,C. You will ask buyer to send Cash,A. You will immediately call your bank and inform about fraudulent transaction,A. He clicked on the link and made payment,You will simply follow the instructions of caller,You will call back to the person and share the banking details to claim the Lottery amount,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,A. Will immediately buy the Smart Phone,All of the Above!,Poor,Very Good,Very Good,Poor,Yes,Not Likely,Somewhat Likely,Very Likely,Maybe,Yes,Yes I can improve ,Male,Gujarat,WhatsApp Group,File a cyber complaint on www.cybercrime.gov.in,Will pay the amount,Yes,Yes,12345#,Parul university ,4-6 Hours in a day,In Evening,I switch ON internet only when it is required,Not Applicable,No,
96,Yes,All of the above,All of the above,All of the above,Not more than 2 hours in day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,No,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Maybe,Maybe,10/10,Female,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul university ,I do not have/use Laptop or Desktop Computer,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
16,Yes,Stealing personal information,Defamation of an individual on social media,All of the above,Not more than 2 hours in day,16-21 Years,Diploma/Vocational Training,Yes,I don't have any knowledge,Yes,No,Lottery Fraud,I did not loose any money,"No, I did not file the complaint because of lack of knowledge","No idea where  to file the complaint, ",,,,All of the above,1. Pay the Job Processing fee when asked from Recruiter,a. He verified the caller,No,Creating fake account of existing user for abusing and marketing,B. Make your profile picture and others information visible to your friends only,B. will call and verify whether the Girl is Authentic or Fraud,He did everything right,The user receives a video call from an unknown number and a girl naked video was recorded with the user,Don’t recieve video call from unknown number,B. She did not verify the authenticity of buyer,D. B & C both,B. You will immediately call 1930 cyber crime help line number to file complaint,C. Both A and B,You will click on the link and make the payment,You will inform your all friends and celebrate,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,B. Also encourage my friends and family to buy it,Prefer Online shopping from authentic and reliable website only,Excellent,Excellent,Excellent,Excellent,Maybe,Not Likely,Not Likely,Not Likely,No,Yes,Very useful,Male,Gujarat,Youtube,Block the person,Will pay the amount,Yes,No,08-01-1992,Parul University,Not more than 2 hours in day,In Evening,I do not use/have smart phone.,Not Applicable,Yes,
96,Yes,All of the above,All of the above,Human Negligence,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Maybe,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,2 -4 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
84,No,Stealing personal information,All of the above,Human Negligence,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I don't have any knowledge,No,Yes,"Part Time Job/Work From Home Fraud, Social Media Account Cloned (Fake Account Created of Existing User), Fake Govt Scheme Fraud, Fake Loan Offer Fraud, Online Shopping Fraud",I did not loose any money,"Yes, I filed the complaint.",,Dialed 100,No,It is still pending (Under Investigation),He made the payment.,4. Both 2 and 3 options are correct,both b and c,I do not know,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,C. You will ignore the fraudulent transaction and focus on enjoying the trip,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,All of the Above!,Very Good,Excellent,Very Good,Very Good,Yes,Very Likely,Somewhat Likely,Somewhat Likely,Maybe,Maybe,,Male,Gujarat,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",No,No,#Sohan@27!,Parul polytechnic Institute,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements","I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
88,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,UG,Yes,I have good knowledge,Yes,No,Not happened any crime,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,parul university,8-10 hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
44,Yes,All of the above,Defamation of an individual on social media,Human Negligence,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,Yes,No,Fake Loan Offer Fraud,I did not loose any money,"No, because I was never the victim of cybercrime",,,,,He  clicked on the link directly without verifying the authenticity of the message.,2. Reputed Company Never Ask for Job Processing Fee Payment,b. Shared the card details,No,Creating fake account of existing user for abusing and marketing,C. Report the fraudulent account to social media and also file a cyber complaint,"A. In the profile picture, Girl is very beautiful, will accept the friend request directly",Both a and b,A recording of the explicit video is used to extort money from the victim,Don’t accept friend requests from unknown while looking only smart picture,D. Only A and B,D. B & C both,D. A & B both,D. He has done nothing wrong,You will simply follow the instructions of caller,"Wow! that's a good news, you will celebrate and distribute sweets to everyone",Checked the source of the call or email and will verify the authenticity,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,No,Very Likely,Very Likely,Very Likely,No,No,,Male,Gujarat,Youtube,All of the Above,Will follow the instructions of Criminal Layer Advocate,Yes,Yes,#Sohan@27!,Parul University ,2 -4 Hours in a day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,Not Applicable,No,
92,No,All of the above,All of the above,All of the above,6-8 hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,No,Yes,"Fraud Call, Lottery Fraud, Social Media Account Cloned (Fake Account Created of Existing User)",I did not loose any money,"Yes, I filed the complaint.",,"Cyber Police Station, Online Complaint on Cyber Crime Portal, Dialed 155620 or 1930",Yes,It was resolved and criminal was not arrested and deducted money was returned,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Somewhat Likely,Maybe,Maybe,This is very important ,Male,Gujarat,WhatsApp Group,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University,Not more than 2 hours in day,"Can't say, Smartphone usage  depends upon my requirements",I switch ON internet only when it is required,"In the Morning, In the Afternoon at Home, In the Night",No,
88,Yes,All of the above,All of the above,All of the above,2 -4 Hours in a day,16-21 Years,Diploma/Vocational Training,No,I have little knowledge,Yes,No,"Online Romance Fraud, Kaun Banega Crorepati (KBC) Fraud",I did not loose any money,"No, I did not file the complaint because of lack of knowledge",Didnt thought that it was worth reporting or filing a complainy ,,,,All of the above,4. Both 2 and 3 options are correct,b. Shared the card details,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,Will Immediately report to Cyber Police or file online complaint on www.cybercrime.gov.in,C. Will first verify the authenticity of the website and startup company,All of the Above!,Excellent,Excellent,Excellent,Excellent,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University,Not more than 2 hours in day,In Afternoon,I switch ON internet only when it is required,"In the Afternoon at Home, In the Evening",No,
76,Yes,All of the above,Defamation of an individual on social media,All of the above,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I have little knowledge,No,No,"Fraud Call, Lottery Fraud, Job Offer Fraud",less than 5000,"No, because I was never the victim of cybercrime",,,,,All of the above,2. Reputed Company Never Ask for Job Processing Fee Payment,both b and c,I do not know,Option A and B,C. Report the fraudulent account to social media and also file a cyber complaint,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,C. Will first verify the authenticity of the website and startup company,"Do not easily trust Sales Offered on Social Media , must verify the source",Excellent,Very Good,Excellent,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Maybe,I would like to know more about cyber crime.,Female,Gujarat,Any Other Source,All of the Above,"Will not trust the True Caller, and File the complaint against the caller on www.cybercrime.gov.in",Yes,Yes,#Sohan@27!,Parul University ,I do not have/use Laptop or Desktop Computer,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,No,
84,Yes,All of the above,All of the above,All of the above,4-6 Hours in a day,16-21 Years,Diploma/Vocational Training,Yes,I don't have any knowledge,No,Yes,"Online Romance Fraud, Fraud Call, Lottery Fraud, Fake Loan Offer Fraud",5000-20000,"No, I did not file the complaint because of lack of knowledge",No idea where  to file the complaint,,,,All of the above,4. Both 2 and 3 options are correct,both b and c,No,Option A and B,Both B and C,Both B and C,Both a and b,All of the above,All of the above,D. Only A and B,D. B & C both,D. A & B both,C. Both A and B,You will refuse and first confirm the bill from electricity department,You will ignore the message because this is a fraud msg,All of the above,Both A & B,All of the Above!,Very Good,Very Good,Very Good,Very Good,Yes,Very Likely,Very Likely,Very Likely,Yes,Yes,,Male,Gujarat,College/School Notification,File a cyber complaint on www.cybercrime.gov.in,Will ignore the call,Yes,Yes,#Sohan@27!,Parul University ,4-6 Hours in a day,In the Night before Sleep,"I always keep my Internet ON (24*7 , Even During Sleeping Time)",Not Applicable,Yes,
